page,link,user,title,body,rating
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r890527925-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Amber C,Best signature cocktails,"The mixologist at the bar, Damien, is masterful. His signature cocktails are incredibly creative, balanced, and dangerously crushable. He was even kind enough to walk us through some of his recipes and preparation process after the pre-dinner rush had passed. One of the highlights of our stay at the St Regis.",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r889437364-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Paul D,An exceptional over the top dining experience not to be missed.,"We made 1 mistake. We only booked one night here during our stay at St. Regis. The setting is breathtaking with sunset and view of Mount Otemanu. Glass panels in the floor and lights let you see some undersea action. We saw, I think a shark, dart across our line of sight. We had a table next to the window.

Everything we ordered was like nothing we'd ever had before, and in a good way. Interesting combinations of flavors. And, in addition to what we ordered there were several additional items brought to our table. An incredibly satisfying meal, one of the best we have ever had. We even asked for the chef to come out so we could thank her personally and she did!

If you want to eat here book well in advance of your stay, it books up quick.

Arrive early for the sabering ritual.",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r888214838-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Badcopbubby,Flawless!,"We ate here 3 of our 5 nights while staying at the St. Regis. Every aspect of the experience was perfect! The ambience, service and food were all top notch. The setting is just gorgeous. We started with drinks at sunset at 727 Bar which was amazing. Christian was our server 2 of the nights and he was perfection. We had stopped by to check out the menu the night before we first dined there and he brought us tea and snacks to relax with as we reviewed the menu and made us feel incredibly welcome. His impeccable knowledge of the menu, yet with a gentle presence and perfect timing each evening made our dining experience incredible. Our third night there with a different server was still great but not quite the amazing experience that we had with Christian. No fault of his, it's just that anyone after Christian will not be able to compare. I can't give him enough praise, as a server can make or break the evening. Lagoon is typically rated as the best restaurant in French Polynesia and for good reason. I could go on about each of the dishes, but they were all wonderful. The only things I would point out as a favorite is The Vanilla dessert. Sounds kind of boring, but it was divine.

I would like to point out something they did for us that showed they don't nickel and dime you at the St. Regis (which I hate when a resort does). We had a bottle of nice champagne in our room when we arrived for our anniversary. We wanted to have it with dinner one night since we tried to eat early enough to enjoy sunset each evening. We assumed they would either not allow us to bring it to dinner or charge a cork fee. Not only did they not charge a cork fee (since they had provided the champagne), they came and picked it up from our room and had it chilled for us to enjoy with dinner at The Lagoon. We didn't even have to remind them - they had it ready and knew it was for us. That is how you do things if you want to have raving fans. If you have an opportunity to eat here, just go and enjoy!!",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r884345155-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Conklin-Villegas,Tastebud feast!,It was our last night at the resort and we were scheduled for dinner here. I recommend upgrading to the chef’s special selection for the $89 more pp. It was unbelievable! Your tastebuds will have a feast! Carla took great care of us and our children. Everyone is heading back to the villa a happy camper. No complaints at all. Everything was exquisite.,5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r883867041-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Brian F,First rate dining,"Fantastic culinary experience and the best restaurant in Bora Bora, the view is outstanding. Also the staff was professional and attentive, a real 5 star experience.",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r883785868-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,laciebug,Great ambience and food presentation.,"We really enjoyed the ambience of this restaurant. Be sure to make your reservations in advance. My husband overlooked the email to start making reservations before our arrival and many of the nights we had to eat at 8:30p or later.

The food was prepared well.

My husband had LAGOON FISH - SESAME
Seared Lagoon Fish ● Black Rice ● Coriander ● Sésame ● Cashew Nuts

I had CHALLANS CHICKEN - HOMEMADE TERIYAKI
Pan Seared Chicken Supreme ● Pan Fried Rice ● Chicken Teriyaki & Star Anise Broth ● Spinach & Romaine

We also ordered the truffle mashed potatoes, which was really good as well
We finished with dessert had the Molton lava cake.",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r883347883-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Chris L,World class experience!,"The food was world class, the setting was gorgeous, and the service was even better. Thank you Julie for providing such an incredible experience!",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r882508203-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,C4726FMkathyl,Exquisite dinner!,"Exquisite food. From the appetizer to dessert it was wonderful. I had shrimp salad appetizer, beef and potatoes dinner (so tender and potatoes with truffle oil so good) and molten lava cake for dessert.",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r882463079-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,anamJ6930WC,Amazing restaurant!,"We dined here 3 nights and we wish we would’ve come every night! The service was great and very personal, and the dishes were all amazing. There was definitely enough food for everyone and it was overall awesome. This restaurant is a MUST if you come to Bora Bora!",5
1,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r881852425-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,marcelocV5434QA,Great dinner,"Awesome experience. The food was amazing especially the lamb! Great service, very kind. Definitely a complete meal.",5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r881243017-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Wendy B,Out of this world!,Wow! Incredible food! Each course was an adventure. Superb service! French Excellence in Paradise setting! Highly recommended!,5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r881142642-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,vickip782,Fabulous,"Just finished a fabulous dinner. The food is amazing, the service was exceptional. The dining room was beautiful. We had a wonderful evening.",5
2,https://www.tripadvisor.es/ShowUserReviews-g311415-d1382225-r880424516-Lagoon_Restaurant_by_Jean_Georges_The_St_Regis_Bora_Bora_Resort-Bora_Bora_Societ.html,Yvonne G,A great place for our last dinner on Bora Bora. Food and service is amazing. Views are spectacular!,Wonderful food. A great atmosphere. All around a great experience. Sabring of champagne and a complementary glass of champagne with great sunset views.,5
